title,keywords,content,publish_at,id,summary,related_stocks,uuid
鉅亨速報 - Factset 最新調查：聯合(4129-TW)EPS預估下修至4.96元，預估目標價為122.5元,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共7位分析師，對聯合(4129-TW)做出2024年EPS預估：中位數由5.02元下修至4.96元，其中最高估值5.19元，最低估值4.84元，預估目標價為122.5元。
市場預估EPS
預估值
2024年(前值)
2025年
最高值
5.19(5.19)
6.4
最低值
4.84(4.84)
5.57
平均值
4.97(4.98)
6.14
中位數
4.96(5.02)
6.25
市場預估營收
預估值
(單位：新台幣千元)
2024年
2025年
最高值
4,781,000
5,668,000
最低值
4,670,000
5,180,000
平均值
4,722,000
5,529,500
中位數
4,703,500
5,599,500
歷史獲利表現
項目
2023年
2022年
2021年
2020年
EPS
4.5
2.84
0.37
1.24
營業收入
(單位：新台幣千元)
3,929,887
3,168,680
2,570,866
2,342,226
詳細資訊請看台股內頁：
https://www.cnyes.com/twstock/4129/financials/ratios
資料來源：Factset，數據僅供參考，不作為投資建議。",2024-11-23 08:10:21,35744,FactSet 最新調查：聯合(4129-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,['聯合'],441ee530-1548-4ce1-8081-0b60aad96880
鉅亨速報 - Factset 最新調查：緯創(3231-TW)EPS預估下修至6.32元，預估目標價為146元,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共13位分析師，對緯創(3231-TW)做出2024年EPS預估：中位數由6.36元下修至6.32元，其中最高估值6.96元，最低估值6.02元，預估目標價為146元。
市場預估EPS
預估值
2024年(前值)
2025年
2026年
最高值
6.96(6.96)
10.98
11.7
最低值
6.02(6.02)
7.64
8.21
平均值
6.36(6.41)
8.6
10.08
中位數
6.32(6.36)
8.46
9.92
市場預估營收
預估值
(單位：新台幣千元)
2024年
2025年
2026年
最高值
1,050,898,000
1,830,093,000
2,033,669,000
最低值
1,003,107,000
1,212,011,000
1,310,743,000
平均值
1,036,448,830
1,318,698,210
1,521,902,420
中位數
1,039,423,880
1,279,389,700
1,501,349,430
歷史獲利表現
項目
2023年
2022年
2021年
2020年
EPS
4.08
4.01
3.76
3.1
營業收入
(單位：新台幣千元)
867,057,007
984,619,156
862,082,848
845,011,844
詳細資訊請看台股內頁：
https://www.cnyes.com/twstock/3231/financials/ratios
資料來源：Factset，數據僅供參考，不作為投資建議。",2024-11-23 08:10:23,35743,FactSet 最新調查：緯創(3231-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,['緯創'],e701308c-d663-4a65-9711-737c25848dc2
做空AI跟做空整個人類沒兩樣，存股VS波段誰更安全？大盤又站回季線強力多頭來了？,"['趨勢分析', '陳冠廷', '中鋼', '台塑', '廣達', '鴻海', '神達', '金寶', '泰金寶-DR', '台積電']","巴菲特說，永遠不要做空美國，從 1984 年到今天為止，道瓊指數是持續創歷史新高，過程一定會有空頭，但空頭時間非常短暫，隨即多頭又再上攻，這就是數據，也是巴菲特很清楚的一點，所以就股票而言，巴菲特堅持只做多。




人類技術只會往前，AI 科技也只會更強，人類不可能把技術往後退，所以 AI 影響人類生活各層面會越來越深入，跟不要做空美國道理一樣，我認為也不要做空 AI，做空 AI 跟做空整個人類未來發展沒有兩樣。






存股 V.S. 波段操作，到底誰更安全，中鋼 (2002-TW) 和台塑 (1301-TW) 過去都是熱門存股標的，確實他們長時間都配發股利，但近 3 年來，中鋼和台塑表現就不好，股價甚至腰斬。存股最大的風險就是，需要用多年時間，去驗證到底是對還是錯，而任何公司，都是可能發生長期基本面的質量變化，白話文說，在科技日新月益，還有商業競爭，經濟趨勢改變等原因，很難保證一家公司永遠不變，而存股若存錯公司，幾年後才驗證是錯的，這樣的風險是很難承擔的。


大盤又站回季線之上，櫃買指數一度跌破年線超跌後已連續反攻，AI 仍是國際股市的未來，就選股策略而言，AI 仍是分兩種，第一梯隊的 AI 像鴻海 (2317-TW)、廣達 (2382-TW)、台積電 (2330-TW) 基本面已經很清楚，有甜甜價就可以波段佈局。另一種 AI 是像神達 (3706-TW)、金寶 (2312-TW)、泰金寶 - DR(9105)、鴻準 (2354-TW) 這種，給市場新的驚喜，股價反而更有爆發力。


即時的分析和佈局機會，歡迎加入 LINE 接收最新分享。


接收個股分析、免費盤前稿、和盤後分享，請加入 line 粉絲團成為好友。


台股鈔能力 - 陳冠廷分析師


https://lin.ee/6rOzncL


更完整分析歡迎收看 11/22 盤後節目


https://youtu.be/ytfr4iI0goI






文章來源: 摩爾投顧 - 陳冠廷分析師


本公司所推薦分析之個別有價證券

無不當之財務利益關係 以往之績效不保證未來獲利

投資人應獨立判斷 審慎評估並自負投資風險",2024-11-23 09:10:03,35742,無摘要,"['中鋼', '台塑', '鴻海', '廣達', '台積電', '神達', '金寶', '鴻準']",ca7f0b71-5c91-4748-885f-77934ddb8276
〈熱門股〉矽光子熱潮再起 眾達-KY、聯鈞雙雙被列注意股,"['聯鈞', '眾達-KY', '矽光子']","隨著 AI 技術發展，矽光子技術被看好降低能耗，備受市場關注，近期熱潮再起，證交所 21 日公布注意股，聯鈞 (6450-TW)、眾達 - KY(4977-TW) 雙雙被列為注意股，其中眾達 - KY 漲勢強勁，本周漲幅逾 8%。


眾達 - KY 22 日收 120.5 元，周漲幅逾 8%，周成交量 11340 張；聯鈞則收 226 元，周跌幅約 1.7%，周成交量 143123 張。


眾達 - KY 旗下產品包括 32G 光收發模組、400G 高階光收發模組，皆於下半年挹注營運，並持續與美系客戶合作開發矽光子光引擎、矽光子光收發模組與光電共封裝光解決方案，布局資料中心、AI 與醫療及健康感測市場；眾達 - KY 將於 12 月 3 日召開法說會，屆時將說明第三季營運。


聯鈞旗下主動式光纜 (AOC) 產品已成為營運主力，日前也傳出擴產消息，未來也將從 400G 升級至 800G，屆時可望再有一波升級商機。




眾達 - KY






 聯鈞",2024-11-23 09:31:40,35741,隨著 AI 技術發展，矽光子技術被看好降低能耗，備受市場關注，近期熱潮再起，證交所 21 日公布注意股，聯鈞 (6450-TW)、眾達 - KY(4977-TW) 雙雙被列為注意股，其中眾達 - KY 漲勢強勁，本周漲幅逾 8%。,['眾達-KY'],8fbcbc7e-4a34-4e3e-b8ca-3122b4d7b79a
何佩珊請辭 行政院證實：不分區立委洪申翰接任勞動部長,"['勞動部', '新任', '部長', '洪申翰']","勞動部長何佩珊因公務員輕生案請辭獲准，行政院昨 (22) 日晚間證實，新任勞動部部長由立法院洪申翰委員接任。至於洪申翰擔任勞動部長後，民進黨不分區立委遺缺，將由民進黨政策會執行長王義川遞補。


勞動部長何佩珊昨 (22) 日請辭獲准，各界關注誰來接任勞動部長，行政院發言人李慧芝晚間向媒體證實，新任勞動部部長擬由立委洪申翰接任。據了解，卓榮泰徵詢洪申翰意願，已獲正面答覆，將由洪申翰出任勞動部長。


洪申翰擔任勞動部長後，民進黨不分區立委遺缺，按排序將由民進黨政策會執行長王義川遞補。


李慧芝指出，洪申翰過去出身於民間團體，不僅為公眾議題發聲，對於公部門就政策與民間溝通的合作模式非常熟稔；而自其擔任立法委員以來，對於勞動議題亦十分關切，尤其在與勞工生計以及安全息息相關的職業災害預防與權利保障等領域更是不遺餘力，戮力健全勞工職場環境。


洪申翰是社運出身，大學時參與樂生療養院舊院區保留運動，之後接觸反核議題，長期投入環保領域。歷任綠色公民行動聯盟副秘書長、行政院能源及減碳辦公室專家委員、行政院環境保護署資料開放諮詢小組專家委員，擔任民進黨兩屆不分區立委，立委任內主要耕耘能源、環保、勞權等議題，也成功促成全台公立動物園保育員加薪一事。",2024-11-23 09:33:22,35740,勞動部長何佩珊因公務員輕生案請辭獲准，行政院昨 (22) 日晚間證實，新任勞動部部長由立法院洪申翰委員接任。至於洪申翰擔任勞動部長後，民進黨不分區立委遺缺，將由民進黨政策會執行長王義川遞補。,[],54f993c9-9bf6-4420-bd7b-c653d5f0a247
〈熱門股〉富驊伺服器產品喜迎出貨高峰展望正向 周漲逾2成,"['富驊', '機殼', '高階伺服器']","機殼廠富驊 (5465-TW) 高階伺服器第三季進入量產，出貨量持續提升，並在第四季進入出貨高峰，同步看好明年將迎來顯著成長，展望正向，激勵富驊本周股價表現，本周漲幅超過 2 成。 


富驊本周漲福 23.92%，股價在周五 (22 日) 亮燈漲停鎖住 41.7 元，站上所有均線。不過三大法人本周在富驊著墨不多，本周僅買超 664 張。 


富驊觀察，伺服器產品需求自第三季以來逐步回穩，各項新品也在陸續第三季及第四季量產與出貨，包括美系 IT 品牌高階 4U 伺服器產品，以及美系雲端資料中心品牌客戶的 1U 產品，皆有望在明年迎來成長。 


除了積極拓展高階伺服器市場外，富驊也與北美硬碟大廠合作，開發高密度 4U 伺服器，相關產品將在第四季開案，為明年營運再添柴火。此外，也持續擴展白牌伺服器，與多家客戶接洽 DC-MHC 模組化伺服器需求，包括 1U 半寬 / 全寬與 2U 全寬等多種規格。",2024-11-23 10:00:03,35739,機殼廠富驊 (5465-TW) 高階伺服器第三季進入量產，出貨量持續提升，並在第四季進入出貨高峰，同步看好明年將迎來顯著成長，展望正向，激勵富驊本周股價表現，本周漲幅超過 2 成。,['富驊'],8ade2b88-9226-4c71-a19c-b98c214238e1
投資台灣3方案吸金105億元！格棋斥57億興建第三類化合物半導體新廠,"['經濟部', '投資台灣事務所', '台肥', '格棋化合物半導體']","投資台灣事務所昨 (22) 日通過 5 家企業擴大投資臺灣，包含台商回台方案的康克玻璃投資 4 億元，根留企業方案的台灣肥料 (1722-TW) 30 億元，以及中小企業方案的格棋化合物半導體 57 億元、允晟照明 8 億元、瑞康國際 6 億元。三大方案共投資 105 億元。



格棋化合物半導體專業從事碳化矽長晶及加工，主要產品包括 6 吋及 8 吋 N 型晶體，應用於電動車及能源基礎建設領域。面對全球市場對碳化矽晶體供不應求的挑戰，將投資逾 57 億元於中壢工業區興建新廠房及擴建產線，導入自動化技術及運用大數據資料管理及追蹤生產資料，並使用智慧能源管理系統，以最佳化供電及緊急供電需求。新廠完成後，將可增加 363 個本國就業機會。



台灣肥料成立於民國 36 年，主要業務包括肥料和化工，是臺灣最大的肥料生產商，每年供應國內市場約 70 萬公噸肥料，佔國內總需求量的 7 成。為延伸核心競爭力，積極發展乾淨能源事業，及因應全球低碳能源發展需求，投資 30 億元在臺中港科技產業園區擴建兩座液氨儲存槽，導入能源管理系統（EMS），提升營運管理與能源效率。此外，公司採用節能設計的儲槽底部電加熱器、應用冷能循環回收系統、高效率氨壓縮機及智慧電表等節能減碳設備，響應國際減碳浪潮與淨零排放政策。


康克玻璃成立於民國 82 年，是當時國內第 6 家擁有強化爐的工廠，專注於玻璃深加工及出口燈飾玻璃，廣泛應用於家具、建築等領域。為因應未來事業發展需求及解決產業升級的瓶頸，康克玻璃於新北市八里區投資近 4 億元新建廠房，導入物聯網系統，並增購四邊自動粗磨機、新型強化爐及自動倉儲等設備，將原有生產線升級為智慧化，以提升產能及精密度。為了替環境保護盡一份心力，公司將進行碳盤查，並於廠區屋頂建置太陽能板發電儲能，安裝智慧電表以提高能源效率，並響應循環回收，以達到永續發展及營運效益之目標。



允晟照明係屬展晟照明集團旗下公司，於 2008 年創立自有品牌「舞光」，專注 LED 照明技術的創新與應用，產品應用於居家、商業、廠辦、學校、戶外及智慧照明領域，並以高品質與節能環保為核心，致力提供符合 CNS 國家檢驗標準，並獲得多項節能與環保標章，目前在台擁有超過 2,500 個經銷夥伴，計畫投資近 8 億元在新北國際 AI + 智慧園區興建新廠房及擴建倉庫，導入自動化倉儲系統，與太陽能板及循環回收系統。



瑞康國際是台灣鍋具業的領導品牌，其自有品牌「UCOM」，強調健康烹飪，能縮短烹調時間並鎖住食材原味，深受市場歡迎。瑞康國際投資近 6 億元於關渡設立「智慧化旗艦門市」，並於三芝建設「智慧化自動倉儲物流中心」，倉儲物流中心除了導入自動化立體貨架系統 (AS/RS) 與智慧倉儲管理系統 (WMS)，顯著提升存貨容量，並配備智慧溫溼度控制系統，確保產品品質。在智慧化旗艦門市中，則導入智慧 AI 導購系統與機器人，提供顧客雙向互動的購物體驗。


截至目前「投資臺灣 3 大方案」已吸引 1,573 家企業超過 2 兆 3,831 億元投資，預估創造 15 萬 5,441 個本國就業機會，其中「歡迎台商回臺投資行動方案」有 319 家臺商投資約 1 兆 3,009 億元，創造 8 萬 8,431 個就業機會；「根留臺灣企業加速投資行動方案」有 196 家企業投資約 5,738 億元，創造 2 萬 8,519 個就業機會；「中小企業加速投資行動方案」則已吸引 1,058 家中小企業投資約 5,084 億元，帶來 3 萬 8,491 個就業機會；後續尚有 52 家企業排隊待審。",2024-11-23 10:20:02,35738,投資台灣事務所昨 (22) 日通過 5 家企業擴大投資臺灣，包含台商回台方案的康克玻璃投資 4 億元，根留企業方案的台灣肥料 (1722-TW) 30 億元，以及中小企業方案的格棋化合物半導體 57 億元、允晟照明 8,['台肥'],9bd49bc8-85fb-417f-a503-fc81c71cce67
攜手護生態 兆豐金響應「福爾摩沙北回歸線永續軸帶」生物多樣性倡議,"['兆豐金', '福爾摩沙北回歸線永續軸帶', 'ESG']","兆豐金控（2886-TW）積極支持生物多樣性議題，響應內政部「福爾摩沙北回歸線永續軸帶」倡議，總經理蕭玉美並於昨（22）日親自出席「臺灣 ‧ 北回歸線之巔 / 福爾摩沙永續軸帶推動建構論壇」合作啟動儀式，與政府單位、企業及民間團體攜手保護我國生態環境。


內政部「福爾摩沙北回歸線永續軸帶」倡議串聯政府及民間資源，以建構兼具「資源保育與環境管理、多元文化與人文美學、生態旅遊與地方創生、全民教育與環境學習、身心韌性與健康療育」之永續軸帶為願景，提出公私協力方案，並建置推動平台。


兆豐金融集團承諾遵循聯合國《生物多樣性公約》，支持永續發展產業，所有新增或遷移設立之營運據點皆符合集團保護生物多樣性及零毀林原則。兆豐金控於 112 年出版之「氣候暨自然環境報告書」首次導入「自然相關財務揭露」(TNFD) 框架，運用 LEAP（Locate、Evaluate、Assess、Prepare）方法學評估融資對象及自身營運據點對國內生物多樣性熱區衝擊，鑑別自然相關風險與機會，並規劃相關管理措施。


 蕭玉美表示，為響應聯合國永續發展目標 SDG14「保育海洋生態」及 SDG15「保育陸域生態」，兆豐金融集團以「永續豐榮，守護生態」為主軸，匯集各子公司志工辦理淨灘、植樹、移除小花蔓澤蘭等環境永續活動，並贊助水雉生態保育教育園區、臺灣黑面琵鷺保育學會等生態團體，112 年度投入金額逾新臺幣 370 萬元。另外，兆豐銀行亦結合金融本業，發行環境公益信用卡 (e 秒 Happy 卡) 並提供非網購一般消費提撥 0.1% 捐贈野灣野生動物保育協會，支持野生動物救護行動。


兆豐金控落實 ESG 不遺餘力，連續入選道瓊永續指數 (DJSI)「新興市場指數」及「世界指數」成分股、CDP 氣候變遷問卷 A - 領導等級，112 年受金管會邀請加入「永續金融先行者聯盟」並擔任「跨部門諮詢小組」召集人，協助推動金融業資金投入前瞻經濟活動產業，亦入選天下雜誌「溫控 1.5°C」成效卓越企業及環境部第六屆國家企業環保獎銅級獎等，深受各界肯定。未來將持續以「發揮正向影響，引領永續發展」為使命，與主管機關共同合作推動永續發展。

-END-",2024-11-23 10:21:58,35737,兆豐金控（2886-TW）積極支持生物多樣性議題，響應內政部「福爾摩沙北回歸線永續軸帶」倡議，總經理蕭玉美並於昨（22）日親自出席「臺灣 ‧ 北回歸線之巔 / 福爾摩沙永續軸帶推動建構論壇」合作啟動儀式，與政府單位、企業,['兆豐金'],9af54367-9ddb-4958-90e7-5daa04874120
〈熱門股〉富喬受惠高頻高速材料需求急增  價量齊揚周漲17%,"['富喬', 'PCB', 'AI', 'LI', '熱門股']","PCB 在 2024 年的市場需求恢復，AI 帶動 Low DK 高頻高速材料的需求高速成長，富喬 (1815-TW) 也完成發行 5 萬張現增股完成自市場籌資 9.25 億元，股價本周收在 27.3 元，漲幅達 17.17%，股價突破下半年以來平台整理區，站上所有均線。


PCB 市場在現階段 L1 電子高階玻纖布交易市況熱並呈現供不應求之下，富喬出貨增加也成重要的受惠者， 下半年營運正向，富喬 2024 年前三季營收 29.6 億元，毛利率 10.57%，年增 8.75 個百分點，2024 年前三季稅後虧損 7661 萬元，明顯較去年同期虧損  2.91 億元收歛，每股虧損收歛到 0.17 元。


富喬 11 月 22 日股價收在 27.3 元，三大法人一周買超 17762 張，股價突破 2024 牛下半年以來平台整理區，站上所有均線，股價在量能增加同時，將進一步挑戰 29.25 元的今年高點。




富喬日 K 線圖",2024-11-23 11:00:05,35736,PCB 在 2024 年的市場需求恢復，AI 帶動 Low DK 高頻高速材料的需求高速成長，富喬 (1815-TW) 也完成發行 5 萬張現增股完成自市場籌資 9.25 億元，股價本周收在 27.3 元，漲幅達 17.17%。,['富喬'],12f74872-bb76-40c9-83e3-3a459c48de44
台泥法說、外銷訂單連8紅、裕隆集團釋最新展望 本周大事回顧,"['本周大事', '台泥', '外銷訂單', '裕隆', '福懋油']","台泥周五 (22 日) 召開法說會，宣布和平電廠 2040 年將除役退場，也同步證實加拿大電芯廠計畫喊卡；經濟部周三 (20 日) 發布 10 月外銷訂單，連續 8 個月正成長；裕隆集團陸續召開法說，並釋出最新展望，以下為本周大事回顧： 


〈台泥法說〉和平電廠 2040 年將除役退場 加拿大電芯廠建廠計畫喊卡 


台泥 (
1101-TW
) 周五 (22 日) 法說宣布，和平電廠因機組將達始用年限將於 2040 年達到設計年限，到時就會正式退場。此外，董事長張安平也證實，加拿大電芯廠建廠計畫喊停。 


不過張安平也表示，旗下能元科技電芯品牌 Molicel 已經打入 AI 供應鏈，第四季開始正式出貨 5kW BBU(備援電池模組) 電池給一家全球知名雲端服務商 (CSP)，並與另外三家 BBU 客戶開發下一代電池。 


至於公司營運方面，水泥事業部分，中國大陸 10 月起恢復單月淨獲利，微微復甦的情況應可延續至明年初，土耳其、葡萄牙及非洲未來也榮景可期。 


〈外銷訂單〉連 8 紅！10 月外銷訂單年增 4.9% 11 月可望續紅 


經濟部周三（20 日）發布 10 月外銷訂單金額為 554.5 億美元，年增 4.9%，連續 8 個月正成長，主要是受惠於人工智慧、高效能運算及雲端產業等商機持續發酵。經濟部統計處長黃于玲指出，推估 11 月外銷訂單金額 530 億美元至 550 億美元之間，年增率約為 4.7% 至 8.6%, 其中以電子產器訂單表現最佳，年增 11.2%。 


〈裕隆集團展望〉估 n7 上市一年達交車 1 萬台目標 裕隆城年租金收益 4.7 億元 


裕隆 (
2201-TW
) 周三 (20 日) 召開法說會時指出，LUXGEN n7 至 10 月底累計銷售近 6100 台，預估 n7 上市滿一周年時，將可達交車 1 萬台目標，此外，新店裕隆城營運後，業績優於預期，今年營收估達 50 億元，明年上看 55 億元，並貢獻租金收入約 4.7 億元。 


另外，中華車 (2204-TW) 則於周四 (21) 日召開法說，指出繼搭載自主開發 ADAS L2 的新世代 Zinger、JSPACE 後，全新自主研發 3.5 噸智慧電動貨卡將於明年量產上市。 


福懋油完成全面改選董事 由興泰拿下 5 席董事及經營權 


在興泰 (
1235-TW
) 掌握半數以上股權優勢之下，周五 (22 日) 福懋油 (
1225-TW
)) 召開的股東臨時會全面改選董事中，取得 5 席董事並拿下經營權，福懋油今天董事改選後，蛋品及飼料廠的茂生農經 (
1240-TW
) 董事長吳清德也仍在董事名單之列。 


華航：交機延遲恐成常態 航太供應鏈瓶頸拉長至 2027 年 


華航 (
2610-TW
) 周四 (21 日) 召開法說會，由董事長謝世謙親自主持，謝世謙說，疫後運能僅回升到疫前 80% 左右，也造成票價上漲了 20-30%，然航太供應鏈失衡，恐一路延至 2027 年，「交機延遲恐成常態」，明年供需持續會緊張，多多少少會使票價往上走，只要客運沒有修正，整體展望就樂觀。 


〈緯創法說〉GB200 機櫃已小量出貨 明年 AI 相關營收躍增三位數 


緯創 (
3231-TW
) 周五 (22 日)  召開法說會，市場關心輝達 (
NVDA-US
)GB200 最新進度，總經理林建勳表示，GB200 已在第四季開始出貨，雖然僅小量出貨，但預期 AI 相關營收將季增雙位數，更看好明年有三位數成長。",2024-11-23 11:20:03,35735,台泥周五 (22 日) 召開法說會，宣布和平電廠 2040 年將除役退場，也同步證實加拿大電芯廠計畫喊卡；經濟部周三 (20 日) 發布 10 月外銷訂單，連續 8 個月正成長；裕隆集團陸續召開法說，並釋出最新展望，以下為本周大事回顧。,"['中華', '裕隆', '緯創', '華航', '茂生農經', '福懋油', '興泰', '台泥', '輝達']",a7328152-eab8-4dbb-addb-07d7f94a5a3d
